country_code;iyear;region;sfi;effect;legit;seceff;secleg;poleff;polleg;ecoeff;ecoleg;soceff;socleg
ARG;2003;4;4;2;2;0;1;1;0;1;1;0;0
ARG;2004;4;4;2;2;0;1;1;0;1;1;0;0
ARG;2005;4;2;1;1;0;0;0;0;1;1;0;0
ARG;2006;4;2;1;1;0;0;0;0;1;1;0;0
ARG;2007;4;2;1;1;0;0;0;0;1;1;0;0
ARG;2008;4;2;1;1;0;0;0;0;1;1;0;0
ARG;2009;4;2;1;1;0;0;0;0;1;1;0;0
ARG;2010;4;2;1;1;0;0;0;0;1;1;0;0
ARG;2011;4;3;1;2;0;1;0;0;1;1;0;0
ARG;2012;4;2;1;1;0;0;0;0;1;1;0;0
ARG;2013;4;1;0;1;0;0;0;0;0;1;0;0
ARG;2014;4;1;0;1;0;0;0;0;0;1;0;0
ARG;2015;4;2;1;1;0;0;0;0;1;1;0;0
ARG;2016;4;2;1;1;0;0;0;0;1;1;0;0
ARG;2017;4;3;1;2;0;0;0;1;1;1;0;0
ARG;2018;4;3;1;2;0;0;0;1;1;1;0;0
ARM;1995;5;8;7;1;1;0;2;1;3;0;1;0
ARM;1996;5;7;7;0;1;0;2;0;3;0;1;0
ARM;1997;5;8;7;1;1;1;2;0;3;0;1;0
ARM;1998;5;8;7;1;1;1;2;0;3;0;1;0
ARM;1999;5;8;7;1;1;1;2;0;3;0;1;0
ARM;2000;5;8;7;1;1;1;2;0;3;0;1;0
ARM;2001;5;9;7;2;1;1;2;0;3;0;1;1
ARM;2002;5;7;6;1;0;1;2;0;3;0;1;0
ARM;2003;5;7;5;2;0;1;2;1;2;0;1;0
ARM;2004;5;7;5;2;0;1;2;1;2;0;1;0
ARM;2005;5;7;5;2;0;1;2;1;2;0;1;0
ARM;2006;5;7;4;3;0;1;2;1;2;0;0;1
ARM;2007;5;6;4;2;0;1;2;0;2;0;0;1
ARM;2008;5;6;3;3;0;1;1;1;2;0;0;1
ARM;2009;5;7;3;4;0;1;1;1;2;1;0;1
ARM;2010;5;7;3;4;0;1;1;1;2;2;0;0
ARM;2011;5;7;3;4;0;1;1;1;2;2;0;0
ARM;2012;5;7;3;4;0;1;1;1;2;2;0;0
ARM;2013;5;7;3;4;0;1;1;1;2;2;0;0
ARM;2014;5;7;3;4;0;1;1;1;2;2;0;0
ARM;2015;5;6;2;4;0;1;0;1;2;2;0;0
ARM;2016;5;6;2;4;0;1;0;1;2;2;0;0
ARM;2017;5;6;2;4;0;1;0;1;2;2;0;0
ARM;2018;5;6;3;3;0;1;1;0;2;2;0;0
AUL;1995;3;2;0;2;0;0;0;0;0;2;0;0
AUL;1996;3;2;0;2;0;0;0;0;0;2;0;0
AUL;1997;3;2;0;2;0;0;0;0;0;2;0;0
AUL;1998;3;2;0;2;0;0;0;0;0;2;0;0
AUL;1999;3;2;0;2;0;0;0;0;0;2;0;0
AUL;2000;3;2;0;2;0;0;0;0;0;2;0;0
AUL;2001;3;1;0;1;0;0;0;0;0;1;0;0
AUL;2002;3;1;0;1;0;0;0;0;0;1;0;0
AUL;2003;3;1;0;1;0;0;0;0;0;1;0;0
AUL;2004;3;2;0;2;0;0;0;0;0;2;0;0
AUL;2005;3;2;0;2;0;0;0;0;0;2;0;0
AUL;2006;3;2;0;2;0;0;0;0;0;2;0;0
AUL;2007;3;2;0;2;0;0;0;0;0;2;0;0
AUL;2008;3;2;0;2;0;0;0;0;0;2;0;0
AUL;2009;3;2;0;2;0;0;0;0;0;2;0;0
AUL;2010;3;2;0;2;0;0;0;0;0;2;0;0
AUL;2011;3;2;0;2;0;0;0;0;0;2;0;0
AUL;2012;3;2;0;2;0;0;0;0;0;2;0;0
AUL;2013;3;2;0;2;0;0;0;0;0;2;0;0
AUL;2014;3;2;0;2;0;0;0;0;0;2;0;0
AUL;2015;3;2;0;2;0;0;0;0;0;2;0;0
AUL;2016;3;2;0;2;0;0;0;0;0;2;0;0
AUL;2017;3;2;0;2;0;0;0;0;0;2;0;0
AUL;2018;3;2;0;2;0;0;0;0;0;2;0;0
AUS;1995;6;0;0;0;0;0;0;0;0;0;0;0
AUS;1996;6;0;0;0;0;0;0;0;0;0;0;0
AUS;1997;6;0;0;0;0;0;0;0;0;0;0;0
AUS;1998;6;0;0;0;0;0;0;0;0;0;0;0
AUS;1999;6;0;0;0;0;0;0;0;0;0;0;0
AUS;2000;6;0;0;0;0;0;0;0;0;0;0;0
AUS;2001;6;0;0;0;0;0;0;0;0;0;0;0
AUS;2002;6;0;0;0;0;0;0;0;0;0;0;0
AUS;2003;6;0;0;0;0;0;0;0;0;0;0;0
AUS;2004;6;0;0;0;0;0;0;0;0;0;0;0
AUS;2005;6;0;0;0;0;0;0;0;0;0;0;0
AUS;2006;6;0;0;0;0;0;0;0;0;0;0;0
AUS;2007;6;0;0;0;0;0;0;0;0;0;0;0
AUS;2008;6;0;0;0;0;0;0;0;0;0;0;0
AUS;2009;6;0;0;0;0;0;0;0;0;0;0;0
AUS;2010;6;0;0;0;0;0;0;0;0;0;0;0
AUS;2011;6;0;0;0;0;0;0;0;0;0;0;0
AUS;2012;6;0;0;0;0;0;0;0;0;0;0;0
AUS;2013;6;0;0;0;0;0;0;0;0;0;0;0
AUS;2014;6;0;0;0;0;0;0;0;0;0;0;0
AUS;2015;6;0;0;0;0;0;0;0;0;0;0;0
AUS;2016;6;0;0;0;0;0;0;0;0;0;0;0
AUS;2017;6;0;0;0;0;0;0;0;0;0;0;0
AUS;2018;6;0;0;0;0;0;0;0;0;0;0;0
AZE;1995;2;19;10;9;2;2;3;2;3;2;2;3
AZE;1996;2;18;10;8;2;1;3;2;3;2;2;3
AZE;1997;2;18;10;8;2;1;3;2;3;2;2;3
AZE;1998;2;18;10;8;2;1;3;2;3;2;2;3
AZE;1999;2;18;10;8;2;1;3;2;3;3;2;2
AZE;2000;2;16;9;7;2;1;3;2;3;3;1;1
AZE;2001;2;16;9;7;2;1;3;2;3;3;1;1
AZE;2002;2;17;9;8;2;1;3;2;3;3;1;2
AZE;2003;2;17;9;8;2;1;3;2;3;3;1;2
AZE;2004;2;15;8;7;2;1;3;2;2;2;1;2
AZE;2005;2;15;7;8;2;1;2;2;2;3;1;2
AZE;2006;2;14;7;7;2;1;2;1;2;3;1;2
AZE;2007;2;15;7;8;2;1;2;2;2;3;1;2
AZE;2008;2;14;6;8;1;1;2;2;2;3;1;2
AZE;2009;2;13;5;8;1;1;2;2;1;3;1;2
AZE;2010;2;11;4;7;1;1;2;2;1;3;0;1
AZE;2011;2;11;4;7;1;1;2;2;1;3;0;1
AZE;2012;2;10;3;7;0;1;2;2;1;3;0;1
AZE;2013;2;10;3;7;0;1;2;2;1;3;0;1
AZE;2014;2;10;3;7;0;1;2;2;1;3;0;1
AZE;2015;2;10;3;7;0;1;2;2;1;3;0;1
AZE;2016;2;10;3;7;0;1;2;2;1;3;0;1
AZE;2017;2;10;3;7;0;1;2;2;1;3;0;1
AZE;2018;2;10;3;7;0;1;2;2;1;3;0;1
BAH;1995;2;8;2;6;0;1;2;2;0;2;0;1
BAH;1996;2;7;1;6;0;1;1;2;0;2;0;1
BAH;1997;2;7;1;6;0;1;1;2;0;2;0;1
BAH;1998;2;7;1;6;0;1;1;2;0;2;0;1
BAH;1999;2;6;0;6;0;1;0;2;0;2;0;1
BAH;2000;2;7;0;7;0;1;0;2;0;3;0;1
BAH;2001;2;4;0;4;0;1;0;1;0;2;0;0
BAH;2002;2;4;0;4;0;1;0;1;0;2;0;0
BAH;2003;2;3;0;3;0;0;0;1;0;2;0;0
BAH;2004;2;4;0;4;0;0;0;1;0;3;0;0
BAH;2005;2;4;0;4;0;0;0;1;0;3;0;0
BAH;2006;2;4;0;4;0;0;0;1;0;3;0;0
BAH;2007;2;4;0;4;0;0;0;1;0;3;0;0
BAH;2008;2;4;0;4;0;0;0;1;0;3;0;0
BAH;2009;2;4;0;4;0;0;0;1;0;3;0;0
BAH;2010;2;5;1;4;0;0;1;1;0;3;0;0
BAH;2011;2;8;2;6;0;1;2;2;0;3;0;0
BAH;2012;2;9;3;6;0;1;3;2;0;3;0;0
BAH;2013;2;9;3;6;0;1;3;2;0;3;0;0
BAH;2014;2;9;3;6;0;1;3;2;0;3;0;0
BAH;2015;2;9;3;6;0;1;3;2;0;3;0;0
BAH;2016;2;9;3;6;0;1;3;2;0;3;0;0
BAH;2017;2;9;3;6;0;1;3;2;0;3;0;0
BAH;2018;2;9;3;6;0;1;3;2;0;3;0;0
BEL;1995;6;0;0;0;0;0;0;0;0;0;0;0
BEL;1996;6;0;0;0;0;0;0;0;0;0;0;0
BEL;1997;6;0;0;0;0;0;0;0;0;0;0;0
BEL;1998;6;0;0;0;0;0;0;0;0;0;0;0
BEL;1999;6;0;0;0;0;0;0;0;0;0;0;0
BEL;2000;6;0;0;0;0;0;0;0;0;0;0;0
BEL;2001;6;0;0;0;0;0;0;0;0;0;0;0
BEL;2002;6;0;0;0;0;0;0;0;0;0;0;0
BEL;2003;6;0;0;0;0;0;0;0;0;0;0;0
BEL;2004;6;0;0;0;0;0;0;0;0;0;0;0
BEL;2005;6;0;0;0;0;0;0;0;0;0;0;0
BEL;2006;6;0;0;0;0;0;0;0;0;0;0;0
BEL;2007;6;1;0;1;0;0;0;1;0;0;0;0
BEL;2008;6;2;0;2;0;0;0;2;0;0;0;0
BEL;2009;6;2;0;2;0;0;0;2;0;0;0;0
BEL;2010;6;2;0;2;0;0;0;2;0;0;0;0
BEL;2011;6;2;0;2;0;0;0;2;0;0;0;0
BEL;2012;6;2;0;2;0;0;0;2;0;0;0;0
