,growth_export_tourism,growth_import_tourism,country_code,year
0,0.03480671906966726,-0.0020043731778425222,AUS,2009
1,-0.0027314585988917894,0.058791309110827195,AUS,2010
2,-0.02107679465776291,0.09728688854400191,AUS,2011
3,-0.02195693881901517,0.05317059116268097,AUS,2012
4,0.043210549258936304,0.093014001840384,AUS,2013
5,0.10235048315487072,-0.021251905617875266,AUS,2014
6,0.1424103864104811,0.055306288504010315,AUS,2015
7,0.09029448361675652,0.05718817464863202,AUS,2016
8,0.09110967398333769,0.07193165242758903,AUS,2017
9,-0.0689801356589147,-0.0331006768189509,AUT,2009
10,0.021531256098354268,0.01629662036530677,AUT,2010
11,0.030692817116658277,-0.0064571674558759895,AUT,2011
12,0.02854318546892376,0.04343587521663772,AUT,2012
13,0.028531955790485286,-0.0038409633551333977,AUT,2013
14,0.01874671494481106,0.061796581909128845,AUT,2014
15,0.051994955285485034,0.0005888703503778014,AUT,2015
16,0.033295188273118725,0.026189308484551255,AUT,2016
17,0.05194599725767324,0.08076849550755116,AUT,2017
18,0.045672808486878935,-0.018441646818645796,BEL,2009
19,0.022639897479709514,0.09511924570160835,BEL,2010
20,0.0563909774436091,0.0327931121802989,BEL,2011
21,0.05585211546065638,0.07104327571411062,BEL,2012
22,0.02415504166276561,0.05665884507525898,BEL,2013
23,0.049730322698601226,0.0782104750040622,BEL,2014
24,0.02690934424801883,-0.043200884111116666,BEL,2015
25,-0.026882632293080078,0.0196356381582401,BEL,2016
26,0.05908496732026136,0.04294320580814581,BEL,2017
27,-0.08276148887502599,-0.03187050158232274,CAN,2009
28,0.07730673316708225,0.10969365616592897,CAN,2010
29,0.03882575757575757,0.06196397382758523,CAN,2011
30,0.04704750329180585,0.055427365113653204,CAN,2012
31,0.043966142684401355,0.030793562191831825,CAN,2013
32,0.06458487768717558,0.03998194945848366,CAN,2014
33,0.07407085037862293,0.017096242298012765,CAN,2015
34,0.13662884927066443,0.0009172354948805417,CAN,2016
35,0.09728361614145165,0.08053619760032404,CAN,2017
36,-0.04488247074944651,-0.01836615161488253,CHE,2009
37,0.013353639694521746,-0.003991987612052772,CHE,2010
38,-0.006959116551589095,0.0366923406076165,CHE,2011
39,0.00859261046467008,0.16155883465758603,CHE,2012
40,0.025982287028428974,0.04848090020728457,CHE,2013
41,0.03767645936665387,0.031084073295827075,CHE,2014
42,-0.03824902207106451,-0.02515626797561077,CHE,2015
43,0.0043274642652337825,0.04239464559672257,CHE,2016
44,-0.11400127942816962,-0.09581596950795457,CHE,2017
45,-0.0009350288580083355,-0.029470095843175614,CZE,2009
46,0.026094358005165796,0.05621512938824336,CZE,2010
47,0.02579150739571201,0.03376264008614216,CZE,2011
48,0.012785428585894376,0.03839170996033747,CZE,2012
49,-0.04701046440564849,0.030451584558345512,CZE,2013
50,0.037106275720434345,0.16995864721352683,CZE,2014
51,0.05237724616395245,0.10192001799813499,CZE,2015
52,0.03363627024127025,0.02304144355137394,CZE,2016
53,0.04000650984905296,0.05924081114290658,CZE,2017
54,0.03200989885947925,0.03691138946880068,DEU,2011
55,0.04934056195589842,0.051732334106987965,DEU,2012
56,0.027596313867706668,0.02521868602270616,DEU,2013
57,0.05823060188542417,-0.009569626162164946,DEU,2014
58,0.04346832956440294,0.007488773386051584,DEU,2015
59,0.031325248456722576,0.02469039543617524,DEU,2016
60,0.053700677095493754,0.08864596147261361,DEU,2017
61,-0.09868439838248211,0.08645628222416746,DNK,2009
62,0.08781518874023986,0.038869647373236615,DNK,2010
63,0.0942727692511669,0.0635745822220215,DNK,2011
64,0.06043317860679265,0.022053151732106535,DNK,2012
65,0.1016640301956373,0.026903474332572896,DNK,2013
66,0.045416018453945606,0.03907522565897836,DNK,2014
67,0.02838557167976896,0.04087816087971974,DNK,2015
68,0.1036969643543244,0.021452394655276263,DNK,2016
69,0.032406625997636995,0.03383458646616555,DNK,2017
70,0.08476879033431994,-0.023070305779307132,ESP,2011
71,0.012435140454464033,-0.03842459173871282,ESP,2012
72,0.04188389149067784,0.02897102897102899,ESP,2013
73,0.03914002205071654,0.09805825242718447,ESP,2014
74,0.040359110385635555,0.1534040671971706,ESP,2015
75,0.07201694516356794,0.1139644819215535,ESP,2016
76,0.10305525064032195,0.13143709140956528,ESP,2017
77,-0.06975164833187919,-0.21945599939813232,EST,2009
78,0.037048497125756086,0.09618914132185252,EST,2010
79,0.1226107226107227,0.23594064847041607,EST,2011
80,0.03023255813953485,0.10775159330072603,EST,2012
81,0.22863592389551757,0.24511640353224529,EST,2013
82,0.1243438320209973,0.08940468514936595,EST,2014
83,-0.21394805952728324,0.03975143026237915,EST,2015
84,0.3001707624916474,0.11308225026088614,EST,2016
85,0.07948835084513473,0.053012869683797925,EST,2017
86,-0.08769086845391183,0.021532036275884403,FIN,2009
87,0.14062915640526197,0.033682083546883845,FIN,2010
88,0.5092927993500116,0.22941986077114418,FIN,2011
89,0.05280288699977831,0.05414144129945031,FIN,2012
90,-0.2781831007920764,-0.12379645692750485,FIN,2013
91,-0.09349993440902526,-0.0015558343789209284,FIN,2014
92,0.307478021779241,0.3117020207097616,FIN,2015
93,0.003873824017708971,0.07376892124928136,FIN,2016
94,0.2657111356119073,0.051391862955032064,FIN,2017
95,-0.07591554231645348,-0.030581851425875106,FRA,2009
96,0.01504384925337754,0.07552324166463853,FRA,2010
97,0.1026346944637091,0.1250304062271954,FRA,2011
98,0.05997458703939018,-0.017221873035826563,FRA,2012
99,-0.00459522097019105,0.010923509849066315,FRA,2013
100,0.01396973224679865,0.1133436242629755,FRA,2014
