country,country_code,happiness_score,year,nattacks,region_txt,fsi,country_code_2,latitude,longitude
Trinidad and Tobago,TTO,6.167999999999998,2015,1.0,Central America & Caribbean,58.7,TT,10.691803,-61.222503
El Salvador,SLV,6.13,2015,0.0,,71.4,SV,13.794185,-88.89653
Guatemala,GTM,6.122999999999998,2015,0.0,,80.4,GT,15.783470999999999,-90.23075899999999
Uzbekistan,UZB,6.002999999999999,2015,1.0,Central Asia,85.3,UZ,41.377491,64.585262
Slovakia,SVK,5.995,2015,0.0,,,SK,48.669026,19.699023999999998
Japan,JPN,5.987,2015,10.0,East Asia,36.0,JP,36.204824,138.252924
South Korea,KOR,5.984,2015,1.0,East Asia,36.3,KR,35.907757000000004,127.766922
Ecuador,ECU,5.975,2015,1.0,South America,75.9,EC,-1.8312389999999998,-78.183406
Bahrain,BHR,5.96,2015,18.0,Middle East & North Africa,64.4,BH,25.930414000000003,50.637772
Italy,ITA,5.948,2015,5.0,Western Europe,43.2,IT,41.87194,12.56738
Bolivia,BOL,5.89,2015,0.0,,78.1,BO,-16.290154,-63.588653
Moldova,MDA,5.8889999999999985,2015,0.0,,73.0,MD,47.411631,28.369884999999996
Paraguay,PRY,5.877999999999999,2015,19.0,South America,71.3,PY,-23.442503,-58.44383199999999
Kazakhstan,KAZ,5.855,2015,0.0,,68.3,KZ,48.019573,66.923684
Slovenia,SVN,5.848,2015,0.0,,31.5,SI,46.151241,14.995463
Lithuania,LTU,5.832999999999998,2015,0.0,,43.0,LT,55.169438,23.881275
Nicaragua,NIC,5.8279999999999985,2015,0.0,,79.0,NI,12.865416,-85.207229
Peru,PER,5.824,2015,10.0,South America,72.0,PE,-9.189967,-75.015152
Belarus,BLR,5.813,2015,0.0,,75.6,BY,53.709807,27.953389
Poland,POL,5.791,2015,0.0,,39.8,PL,51.919438,19.145135999999997
Malaysia,MYS,5.77,2015,5.0,Southeast Asia,65.9,MY,4.210483999999999,101.97576600000001
Croatia,HRV,5.759,2015,0.0,,51.0,HR,45.1,15.2
Libya,LBY,5.754,2015,543.0,Middle East & North Africa,95.3,LY,26.3351,17.228331
Russia,RUS,5.716,2015,21.0,Eastern Europe,80.0,RU,61.52401,105.31875600000001
Jamaica,JAM,5.709,2015,0.0,,64.6,JM,18.109581,-77.297508
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
North Cyprus,,5.695,2015,0.0,,,,,
